"Status","Name","DisplayName"
"Stopped","AeLookupSvc","Application Experience"
"Stopped","ALG","Application Layer Gateway Service"
"Stopped","AppIDSvc","Application Identity"
"Running","Appinfo","Application Information"
"Stopped","AppMgmt","Application Management"
"Stopped","aspnet_state","ASP.NET State Service"
"Running","AudioEndpointBuilder","Windows Audio Endpoint Builder"
"Running","Audiosrv","Windows Audio"
"Running","avg8emc","AVG8 E-mail Scanner"
"Running","avg8wd","AVG8 WatchDog"
"Stopped","AxInstSV","ActiveX Installer (AxInstSV)"
"Stopped","BDESVC","BitLocker Drive Encryption Service"
"Running","BFE","Base Filtering Engine"
"Running","BITS","Background Intelligent Transfer Service"
"Running","Browser","Computer Browser"
"Stopped","bthserv","Bluetooth Support Service"
"Stopped","CertPropSvc","Certificate Propagation"
"Stopped","clr_optimization_v2.0.50727_32","Microsoft .NET Framework NGEN v2.0.50727_X86"
"Stopped","clr_optimization_v4.0.30319_32","Microsoft .NET Framework NGEN v4.0.30319_X86"
"Stopped","COMSysApp","COM+ System Application"
"Running","CryptSvc","Cryptographic Services"
"Running","CscService","Offline Files"
"Running","DcomLaunch","DCOM Server Process Launcher"
"Stopped","defragsvc","Disk Defragmenter"
"Running","Dhcp","DHCP Client"
"Running","Dnscache","DNS Client"
"Stopped","dot3svc","Wired AutoConfig"
"Running","DPS","Diagnostic Policy Service"
"Running","EapHost","Extensible Authentication Protocol"
"Running","EFS","Encrypting File System (EFS)"
"Stopped","ehRecvr","Windows Media Center Receiver Service"
"Stopped","ehSched","Windows Media Center Scheduler Service"
"Running","eventlog","Windows Event Log"
"Running","EventSystem","COM+ Event System"
"Stopped","Fax","Fax"
"Running","fdPHost","Function Discovery Provider Host"
"Running","FDResPub","Function Discovery Resource Publication"
"Running","FontCache","Windows Font Cache Service"
"Stopped","FontCache3.0.0.0","Windows Presentation Foundation Font Cache 3.0.0.0"
"Running","gpsvc","Group Policy Client"
"Stopped","hidserv","Human Interface Device Access"
"Stopped","hkmsvc","Health Key and Certificate Management"
"Running","HomeGroupProvider","HomeGroup Provider"
"Stopped","idsvc","Windows CardSpace"
"Running","IKEEXT","IKE and AuthIP IPsec Keying Modules"
"Stopped","IPBusEnum","PnP-X IP Bus Enumerator"
"Running","iphlpsvc","IP Helper"
"Running","KeyIso","CNG Key Isolation"
"Stopped","KtmRm","KtmRm for Distributed Transaction Coordinator"
"Running","LanmanServer","Server"
"Running","LanmanWorkstation","Workstation"
"Stopped","lltdsvc","Link-Layer Topology Discovery Mapper"
"Running","lmhosts","TCP/IP NetBIOS Helper"
"Stopped","Mcx2Svc","Media Center Extender Service"
"Stopped","Microsoft SharePoint Workspace Audit Service","Microsoft SharePoint Workspace Audit Service"
"Running","MMCSS","Multimedia Class Scheduler"
"Running","MpsSvc","Windows Firewall"
"Stopped","MSDTC","Distributed Transaction Coordinator"
"Stopped","MSiSCSI","Microsoft iSCSI Initiator Service"
"Stopped","msiserver","Windows Installer"
"Stopped","msvsmon90","Visual Studio 2008 Remote Debugger"
"Stopped","napagent","Network Access Protection Agent"
"Stopped","Netlogon","Netlogon"
"Running","Netman","Network Connections"
"Stopped","NetMsmqActivator","Net.Msmq Listener Adapter"
"Stopped","NetPipeActivator","Net.Pipe Listener Adapter"
"Running","netprofm","Network List Service"
"Stopped","NetTcpActivator","Net.Tcp Listener Adapter"
"Stopped","NetTcpPortSharing","Net.Tcp Port Sharing Service"
"Running","NlaSvc","Network Location Awareness"
"Running","nsi","Network Store Interface Service"
"Running","nvsvc","NVIDIA Display Driver Service"
"Stopped","ose","Office  Source Engine"
"Running","osppsvc","Office Software Protection Platform"
"Running","p2pimsvc","Peer Networking Identity Manager"
"Running","p2psvc","Peer Networking Grouping"
"Running","PcaSvc","Program Compatibility Assistant Service"
"Stopped","PeerDistSvc","BranchCache"
"Stopped","pla","Performance Logs & Alerts"
"Running","PlugPlay","Plug and Play"
"Stopped","PNRPAutoReg","PNRP Machine Name Publication Service"
"Running","PNRPsvc","Peer Name Resolution Protocol"
"Running","PolicyAgent","IPsec Policy Agent"
"Running","Power","Power"
"Running","ProfSvc","User Profile Service"
"Stopped","ProtectedStorage","Protected Storage"
"Stopped","QWAVE","Quality Windows Audio Video Experience"
"Stopped","RasAuto","Remote Access Auto Connection Manager"
"Stopped","RasMan","Remote Access Connection Manager"
"Stopped","RemoteAccess","Routing and Remote Access"
"Stopped","RemoteRegistry","Remote Registry"
"Running","RichVideo","Cyberlink RichVideo Service(CRVS)"
"Running","RpcEptMapper","RPC Endpoint Mapper"
"Stopped","RpcLocator","Remote Procedure Call (RPC) Locator"
"Running","RpcSs","Remote Procedure Call (RPC)"
"Running","SamSs","Security Accounts Manager"
"Stopped","SCardSvr","Smart Card"
"Running","Schedule","Task Scheduler"
"Stopped","SCPolicySvc","Smart Card Removal Policy"
"Stopped","SDRSVC","Windows Backup"
"Running","SeaPort","SeaPort"
"Stopped","seclogon","Secondary Logon"
"Running","SENS","System Event Notification Service"
"Stopped","SensrSvc","Adaptive Brightness"
"Stopped","SessionEnv","Remote Desktop Configuration"
"Stopped","SharedAccess","Internet Connection Sharing (ICS)"
"Running","ShellHWDetection","Shell Hardware Detection"
"Stopped","SNMPTRAP","SNMP Trap"
"Running","Spooler","Print Spooler"
"Stopped","sppsvc","Software Protection"
"Stopped","sppuinotify","SPP Notification Service"
"Running","SSDPSRV","SSDP Discovery"
"Stopped","SstpSvc","Secure Socket Tunneling Protocol Service"
"Stopped","StiSvc","Windows Image Acquisition (WIA)"
"Stopped","swprv","Microsoft Software Shadow Copy Provider"
"Running","SysMain","Superfetch"
"Stopped","TabletInputService","Tablet PC Input Service"
"Stopped","TapiSrv","Telephony"
"Stopped","TBS","TPM Base Services"
"Stopped","TermService","Remote Desktop Services"
"Running","Themes","Themes"
"Stopped","THREADORDER","Thread Ordering Server"
"Running","TrkWks","Distributed Link Tracking Client"
"Stopped","TrustedInstaller","Windows Modules Installer"
"Stopped","UI0Detect","Interactive Services Detection"
"Stopped","UmRdpService","Remote Desktop Services UserMode Port Redirector"
"Running","upnphost","UPnP Device Host"
"Running","UxSms","Desktop Window Manager Session Manager"
"Stopped","VaultSvc","Credential Manager"
"Stopped","vds","Virtual Disk"
"Stopped","VSS","Volume Shadow Copy"
"Stopped","W32Time","Windows Time"
"Stopped","WatAdminSvc","Windows Activation Technologies Service"
"Stopped","wbengine","Block Level Backup Engine Service"
"Stopped","WbioSrvc","Windows Biometric Service"
"Stopped","wcncsvc","Windows Connect Now - Config Registrar"
"Stopped","WcsPlugInService","Windows Color System"
"Running","WdiServiceHost","Diagnostic Service Host"
"Stopped","WdiSystemHost","Diagnostic System Host"
"Stopped","WebClient","WebClient"
"Stopped","Wecsvc","Windows Event Collector"
"Stopped","wercplsupport","Problem Reports and Solutions Control Panel Support"
"Stopped","WerSvc","Windows Error Reporting Service"
"Running","WinDefend","Windows Defender"
"Running","WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service"
"Running","Winmgmt","Windows Management Instrumentation"
"Running","WinRM","Windows Remote Management (WS-Management)"
"Running","Wlansvc","WLAN AutoConfig"
"Stopped","wlcrasvc","Windows Live Mesh remote connections service"
"Running","wlidsvc","Windows Live ID Sign-in Assistant"
"Stopped","wmiApSrv","WMI Performance Adapter"
"Running","WMPNetworkSvc","Windows Media Player Network Sharing Service"
"Stopped","WPCSvc","Parental Controls"
"Stopped","WPDBusEnum","Portable Device Enumerator Service"
"Running","wscsvc","Security Center"
"Running","WSearch","Windows Search"
"Running","wuauserv","Windows Update"
"Running","wudfsvc","Windows Driver Foundation - User-mode Driver Framework"
"Stopped","WwanSvc","WWAN AutoConfig"
